Open,High,,,,,
307.38,310.55,,,,,
305.76,306.4,,,,,
290.73,293.91,,,,,
288.5,308.31,,,,,
305.48,305.48,,,,,
300.04,301.37,,,,,
296.43,305.42,,,,,
298.57,304.84,,,,,
294.27,318.7,,,,,
308.64,329.45,,,,,
320.67,324.72,,,,,
298.59,319.45,,,,,
314.69,319.15,,,,,
307.02,328.42,,,,,
316.76,340.18,,,,,
337.96,340.91,,,,,
333.44,336.16,,,,,
330.17,334.96,,,,,
331.98,349.62,,,,,
347.4,371.29,,,,,
354.09,372.14,,,,,
367.44,372.47,,,,,
360.31,381.42,,,,,
381.44,425.55,,,,,
412.5,480.97,,,,,
475.68,485.19,,,,,
465.97,472.72,,,,,
471.53,493.4,,,,,
480.52,482.48,,,,,
473.28,522.31,,,,,
431.21,465.5,,,,,
445.21,472.61,,,,,
466.85,476.24,,,,,
463.7,482.81,,,,,
466.05,474.78,,,,,
470.29,473.56,,,,,
462.6,462.71,,,,,
426.37,441.4,,,,,
434.99,466.06,,,,,
457.34,504.15,,,,,
472.79,472.79,,,,,
440.36,516.97,,,,,
522.29,657.32,,,,,
644.91,747.99,,,,,
700.59,753.12,,,,,
696.38,697.13,,,,,
686.19,718.39,,,,,
696.24,735.83,,,,,
721.73,803.93,,,,,
793.9,881.94,,,,,
827.52,845.06,,,,,
820.24,880.54,,,,,
822.64,827.68,,,,,
681.32,763.9,,,,,
721.77,721.77,,,,,
698.87,782.52,,,,,
763.37,786.79,,,,,
774.97,789.25,,,,,
762.21,763.32,,,,,
740.39,770.12,,,,,
753.82,753.82,,,,,
712.21,760.35,,,,,
755.76,782.53,,,,,
772.35,914.83,,,,,
886,974.47,,,,,
961.71,1045.08,,,,,
975.75,1075.39,,,,,
995.15,1060.71,,,,,
1043.01,1153.17,,,,,
1158.26,1266.93,,,,,
1146,1320.98,,,,,
1300.34,1417.38,,,,,
1268.09,1337.3,,,,,
1158.29,1296.04,,,,,
1270.47,1432.88,,,,,
1397.48,1400.56,,,,,
1365.21,1390.59,,,,,
1292.63,1292.63,,,,,
1061.34,1090.23,,,,,
1016.44,1100.31,,,,,
1028.82,1093.22,,,,,
1044.95,1167.11,,,,,
1155.68,1155.68,,,,,
1055.35,1089.1,,,,,
1004.17,1023.23,,,,,
987.48,1062.44,,,,,
1063.22,1104.66,,,,,
1052.7,1080.6,,,,,
1055.75,1121.98,,,,,
1111.78,1257.77,,,,,
1246.7,1256.7,,,,,
1184.13,1184.63,,,,,
1071.09,1128.66,,,,,
1119.37,1161.35,,,,,
1035.77,1035.77,,,,,
919.21,991.94,,,,,
964.67,969.03,,,,,
834.96,856.65,,,,,
707.74,796.44,,,,,
790.43,851.2,,,,,
755.84,845.09,,,,,
818.48,884,,,,,
882.47,917.4,,,,,
859.29,859.29,,,,,
817.51,875.94,,,,,
869.29,870.71,,,,,
844.28,926.43,,,,,
923.73,951.95,,,,,
934.79,950.01,,,,,
944.75,976.59,,,,,
973.35,982.93,,,,,
921.67,957.78,,,,,
943.57,965.27,,,,,
894.14,912.38,,,,,
849.26,875.93,,,,,
811.59,886.32,,,,,
861.59,879.53,,,,,
839.46,853.15,,,,,
845.28,880.39,,,,,
870.36,896.26,,,,,
877.93,890.11,,,,,
856.01,880.3,,,,,
871.76,876.38,,,,,
856.71,868.45,,,,,
856.19,867.95,,,,,
866.85,869.92,,,,,
853.82,853.82,,,,,
816.27,825.61,,,,,
752.57,773.77,,,,,
702.2,729.16,,,,,
